country,density_per_km2,agricultural_land_percent,land_area_km2,armed_forces_size,birth_rate,calling_code,capital_major_city,co2_emissions,cpi,cpi_change_percent,fertility_rate,forested_area_percent,gross_primary_education_enrollment_percent,gross_tertiary_education_enrollment_percent,infant_mortality,largest_city,life_expectancy,maternal_mortality_ratio,official_language,out_of_pocket_health_expenditure,physicians_per_thousand,population,labor_force_participation_percent,tax_revenue_percent,total_tax_rate,unemployment_rate,urban_population,latitude,longitude
Afghanistan,60,58.1,652230,323000.0,32.49,93,Kabul,8672,149.9,2.3,4.47,2.1,104.0,9.7,47.9,Kabul,64.5,638.0,Pashto,78.4,0.28,38041754,48.9,9.3,71.4,11.12,9797273,33.93911,67.709953
Albania,105,43.1,28748,9000.0,11.78,355,Tirana,4536,119.05,1.4,1.62,28.1,107.0,55.0,7.8,Tirana,78.5,15.0,Albanian,56.9,1.2,2854191,55.7,18.6,36.6,12.33,1747593,41.153332,20.168331
Algeria,18,17.4,2381741,317000.0,24.28,213,Algiers,150006,151.36,2.0,3.02,0.8,109.9,51.4,20.1,Algiers,76.7,112.0,Arabic,28.1,1.72,43053054,41.2,37.2,66.1,11.7,31510100,28.033886,1.659626
Angola,26,47.5,1246700,117000.0,40.73,244,Luanda,34693,261.73,17.1,5.52,46.3,113.5,9.3,51.6,Luanda,60.8,241.0,Portuguese,33.4,0.21,31825295,77.5,9.2,49.1,6.89,21061025,-11.202692,17.873887
Antigua and Barbuda,223,20.5,443,0.0,15.33,1,"St. John's, Saint John",557,113.81,1.2,1.99,22.3,105.0,24.8,5.0,"St. John's, Saint John",76.9,42.0,English,24.3,2.76,97118,62.6,16.5,43.0,5.36,23800,17.060816,-61.796428
Argentina,17,54.3,2780400,105000.0,17.02,54,Buenos Aires,201348,232.75,53.5,2.26,9.8,109.7,90.0,8.8,Buenos Aires,76.5,39.0,Spanish,17.6,3.96,44938712,61.3,10.1,106.3,9.79,41339571,-38.416097,-63.616672
Armenia,104,58.9,29743,49000.0,13.99,374,Yerevan,5156,129.18,1.4,1.76,11.7,92.7,54.6,11.0,Yerevan,74.9,26.0,Armenian,81.6,4.4,2957731,55.6,20.9,22.6,16.99,1869848,40.069099,45.038189
Australia,3,48.2,7741220,58000.0,12.6,61,Canberra,375908,119.8,1.6,1.74,16.3,100.3,113.1,3.1,Sydney,82.7,6.0,English,19.6,3.68,25766605,65.5,23.0,47.4,5.27,21844756,-25.274398,133.775136
Austria,109,32.4,83871,21000.0,9.7,43,Vienna,61448,118.06,1.5,1.47,46.9,103.1,85.1,2.9,Vienna,81.6,5.0,German,17.9,5.17,8877067,60.7,25.4,51.4,4.67,5194416,47.516231,14.550072
Azerbaijan,123,57.7,86600,82000.0,14.0,994,Baku,37620,156.32,2.6,1.73,14.1,99.7,27.7,19.2,Baku,72.9,26.0,Azerbaijani language,78.6,3.45,10023318,66.5,13.0,40.7,5.51,5616165,40.143105,47.576927
